REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Central Highland,22,Daykundi,2207,Sang-e-Takht,01/01/2020,Heavy snowfall,0,0,19,133,0,0
Central Highland,22,Daykundi,2203,Khadir,01/01/2020,Heavy snowfall,0,0,50,350,0,0
Central Highland,22,Daykundi,2208,Kajran,01/01/2020,Avalanche,0,0,52,364,0,0
South Eastern,11,Ghazni,1117,Malestan,01/01/2020,Heavy snowfall,0,0,339,2373,0,0
South Eastern,11,Ghazni,1113,Jaghuri,01/01/2020,Heavy snowfall,0,0,201,1407,0,0
South Eastern,11,Ghazni,1101,Ghazni,01/01/2020,Heavy snowfall,0,0,887,6209,0,0
South Eastern,11,Ghazni,1112,Nawur,01/01/2020,Heavy snowfall,1,0,0,0,0,0
South Eastern,11,Ghazni,1101,Ghazni,01/01/2020,Heavy snowfall,0,0,338,2366,0,0
Southern,24,Zabul,2401,Qalat,06/01/2020,Heavy snowfall,0,0,25,175,25,0
Northern,19,Samangan,1905,Dara-e Suf-e-Bala,07/01/2020,Landslide / mudflow,0,0,88,616,49,38
South Eastern,11,Ghazni,1110,Qarabagh,08/01/2020,Heavy snowfall,1,0,0,0,0,0
South Eastern,11,Ghazni,1112,Nawur,08/01/2020,Heavy snowfall,1,0,0,0,0,0
Southern,23,Uruzgan,2301,Tirinkot,09/01/2020,Flood / flash flood,0,0,187,1938,187,0
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,11/01/2020,Flood / flash flood,0,0,1,7,1,0
Southern,33,Kandahar,3304,Panjwayi,11/01/2020,Flood / flash flood,0,0,3,32,3,0
Southern,24,Zabul,2401,Qalat,11/01/2020,Heavy snowfall,0,0,67,691,59,8
Southern,33,Kandahar,3303,Zheray,11/01/2020,Flood / flash flood,0,0,8,88,8,0
Southern,33,Kandahar,3302,Arghandab,11/01/2020,Flood / flash flood,0,0,10,95,10,0
Southern,32,Hilmand,3201,Lashkargah,11/01/2020,Flood / flash flood,0,3,61,479,26,35
Southern,24,Zabul,2403,Mizan,11/01/2020,Heavy snowfall,0,0,97,982,95,2
Southern,24,Zabul,2404,Tarnak Wa Jaldak,11/01/2020,Flood / flash flood,0,0,135,1041,118,17
Southern,32,Hilmand,3203,Nad-e-Ali,11/01/2020,Flood / flash flood,0,0,6,49,6,0
Southern,33,Kandahar,3311,Spinboldak,11/01/2020,Flood / flash flood,6,9,1,10,10,1
Southern,24,Zabul,2406,Shahjoy,11/01/2020,Heavy snowfall,0,0,41,279,41,0
Southern,33,Kandahar,3301,Kandahar,11/01/2020,Flood / flash flood,0,0,51,461,51,0
Western,30,Hirat,3010,Adraskan,12/01/2020,Heavy snowfall,2,0,2,14,0,0
Western,30,Hirat,3007,Karukh,12/01/2020,Heavy snowfall,3,0,3,21,0,0
Eastern,13,Kunar,1314,Nurgal,13/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,705,Dawlatshah,13/01/2020,Flood / flash flood,0,0,2,15,2,0
Eastern,7,Laghman,701,Mehtarlam,13/01/2020,Flood / flash flood,0,0,18,142,15,3
Eastern,7,Laghman,703,Qarghayi,13/01/2020,Flood / flash flood,0,0,6,65,6,0
Eastern,7,Laghman,701,Mehtarlam,13/01/2020,Flood / flash flood,0,0,30,249,30,0
Eastern,6,Nangarhar,602,Behsud,13/01/2020,Flood / flash flood,0,0,1,8,1,0
Eastern,7,Laghman,705,Dawlatshah,13/01/2020,Flood / flash flood,0,0,2,16,2,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,13/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,702,Alishang,13/01/2020,Flood / flash flood,0,0,8,45,8,0
Eastern,13,Kunar,1301,Asadabad,13/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1307,Dara-e-Pech,13/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,704,Alingar,13/01/2020,Flood / flash flood,0,0,13,89,13,0
Western,21,Ghor,2103,DoLayna,18/01/2020,Avalanche,1,0,0,0,0,0
Western,21,Ghor,2104,Dawlatyar,19/01/2020,Heavy snowfall,1,0,0,0,0,0
Capital,5,Logar,501,Pul-e-Alam,20/01/2020,Heavy snowfall,8,0,38,266,8,30
Capital,5,Logar,503,Mohammadagha,20/01/2020,Heavy snowfall,0,0,8,56,2,4
Western,30,Hirat,3002,Injil,24/01/2020,Flood / flash flood,0,0,8,56,8,0
Western,30,Hirat,3007,Karukh,24/01/2020,Flood / flash flood,0,0,13,91,13,0
Western,30,Hirat,3001,Hirat,24/01/2020,Flood / flash flood,0,0,3,21,3,0
Western,30,Hirat,3007,Karukh,24/01/2020,Flood / flash flood,0,0,6,42,6,0
Western,30,Hirat,3001,Hirat,24/01/2020,Flood / flash flood,0,0,5,35,5,0
Western,30,Hirat,3005,Guzara,24/01/2020,Flood / flash flood,0,0,1,7,1,0
Southern,23,Uruzgan,2301,Tirinkot,26/01/2020,Flood / flash flood,0,0,95,929,95,0
Southern,32,Hilmand,3201,Lashkargah,27/01/2020,Flood / flash flood,0,0,40,319,40,0
Eastern,13,Kunar,1303,Narang,30/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1301,Asadabad,30/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,30/01/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1308,Chawkay,30/01/2020,Flood / flash flood,0,0,0,0,0,0
South Eastern,12,Paktya,1207,Lija Ahmad Khel,04/02/2020,Heavy snowfall,0,0,10,70,0,10
South Eastern,12,Paktya,1211,Dand Wa Patan,04/02/2020,Heavy snowfall,0,0,11,77,0,11
South Eastern,12,Paktya,1208,Alikhel (Jaji),04/02/2020,Heavy snowfall,0,0,12,84,0,12
South Eastern,12,Paktya,1210,Chamkani,04/02/2020,Heavy snowfall,2,1,9,63,0,9
South Eastern,12,Paktya,1202,Sayedkaram,04/02/2020,Heavy snowfall,0,0,6,42,0,6
South Eastern,12,Paktya,1201,Gardez,04/02/2020,Heavy snowfall,0,0,1,7,1,0
South Eastern,12,Paktya,1206,Zadran,04/02/2020,Heavy snowfall,1,0,4,28,4,0
South Eastern,12,Paktya,1203,Ahmadaba,04/02/2020,Heavy snowfall,0,0,1,7,1,0
Capital,2,Kapisa,203,Kohband,10/02/2020,Heavy snowfall,0,0,2,14,2,0
Capital,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,10/02/2020,Heavy snowfall,0,0,2,14,2,0
Capital,2,Kapisa,201,Mahmud-e-Raqi,10/02/2020,Heavy snowfall,0,0,2,14,2,0
Capital,2,Kapisa,207,Hisa-e- Awal-e- Kohestan,10/02/2020,Heavy snowfall,0,0,6,42,4,2
Southern,33,Kandahar,3301,Kandahar,12/02/2020,Flood / flash flood,0,0,8,79,8,0
Southern,23,Uruzgan,2301,Tirinkot,12/02/2020,Flood / flash flood,0,0,0,0,0,0
Southern,24,Zabul,2401,Qalat,12/02/2020,Heavy snowfall,0,0,174,1549,174,0
Northern,28,Faryab,2807,Kohestan,15/02/2020,Heavy snowfall,0,0,267,1869,79,188
Western,29,Badghis,2901,Qala-e-Naw,15/02/2020,Flood / flash flood,0,0,1,7,1,0
